,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,val1,val2,val3,val4
7287,nm0007325,Myriam Aadli,\N,\N,actress,tt0241595,tt0241595,,,
7288,nm0007326,Annemarie Aaes,1942,\N,"script_department,miscellaneous,assistant_director","tt0124181,tt0107151,tt0092603,tt0119683",tt0124181,tt0107151,tt0092603,tt0119683
7289,nm0007327,Erik Aaes,1899,1966,"production_designer,art_director,set_decorator","tt0015801,tt0050506,tt0124291,tt0126635",tt0015801,tt0050506,tt0124291,tt0126635
7290,nm0007328,Mang Aag,\N,\N,director,tt0122035,tt0122035,,,
7291,nm0007329,Karl Aagaard Østvig Jr.,1925,1944,actor,tt0036476,tt0036476,,,
7292,nm0007330,Bent Aagaard,\N,\N,stunts,tt0077554,tt0077554,,,
7293,nm0007331,Egon Aagaard,1941,1984,"actor,music_department,soundtrack","tt3361428,tt0081255,tt0120218,tt0077051",tt3361428,tt0081255,tt0120218,tt0077051
7294,nm0007332,Lasse Aagaard,\N,\N,composer,"tt10521530,tt6542020,tt12623872,tt6439460",tt10521530,tt6542020,tt12623872,tt6439460
7295,nm0007333,Laura Aagaard,\N,\N,actress,"tt0247993,tt9130232",tt0247993,tt9130232,,
7296,nm0007334,Sigfred Aagaard,1924,\N,"director,writer,producer","tt0193238,tt0193218",tt0193238,tt0193218,,
7297,nm0007335,Sven Aagaard,\N,\N,writer,tt0122568,tt0122568,,,
7298,nm0007336,Vibeke Aagaard,\N,\N,"miscellaneous,actress,producer","tt0220261,tt0193763,tt0929638,tt0236027",tt0220261,tt0193763,tt0929638,tt0236027
7299,nm0007337,Karl Aagard Østvig,\N,\N,actor,tt0037434,tt0037434,,,
7300,nm0007338,Per Aage Brandt,1944,\N,actor,"tt0449944,tt0108287",tt0449944,tt0108287,,
7301,nm0007339,Audun Aagre,\N,\N,composer,tt0143160,tt0143160,,,
7302,nm0007340,Jan Aagre,\N,\N,actor,tt0177533,tt0177533,,,
7303,nm0007341,Thomas Aagren,\N,\N,actor,tt0117407,tt0117407,,,
7304,nm0007342,Lee Aaker,1943,\N,"actor,soundtrack","tt0045932,tt0045883,tt0050242,tt0044981",tt0045932,tt0045883,tt0050242,tt0044981
7305,nm0007344,Kim Fupz Aakeson,1958,\N,"writer,script_department,actor","tt0167137,tt1439572,tt2179055,tt5719748",tt0167137,tt1439572,tt2179055,tt5719748
